folder,bee_id,cue,P,U,dop,dop_strength,exit_angle_deg,inner_exit_angle_deg,path_len_cm,displacement_cm,straightness,mean_speed_cms,max_radius_cm
2024-11-19 17-43-39.R13.TB.P0.5 U 2,R13,TB,0.5,2.0,0.04,weak,18.209190373175772,18.209190373175772,1310.729519032347,2.2215604335691355,0.0016949037931252315,4.826515436538674,154.2046707423611
2024-11-19 17-50-18.R13.LR.P0.5 U 2,R13,LR,0.5,2.0,0.04,weak,10.728345776213416,352.7307345432994,3668.640748575539,5.175008019317451,0.0014106063727626654,13.394687890137329,174.34308181284393
2024-11-19 18-13-28.R13.LR.P0.6 U 2,R13,LR,0.6,2.0,0.04,weak,18.246797352331498,18.246797352331498,7639.503363382557,1.9555314980843561,0.00025597625985185796,13.758246388443018,172.8083437321242
2024-11-19 18-21-38.R 13.TB.P0.6 U 2,R13,TB,0.6,2.0,0.04,weak,16.721813171482665,16.721813171482665,4882.398934210913,156.995191380628,0.03215533869642739,13.766874095513748,170.7327440084063
2024-11-19 18-29-36.R13.TB.P0.9 U 2,R13,TB,0.9,2.0,0.07,weak,28.433049519599365,28.433049519599365,6087.523370928249,167.9693524179932,0.02759239549209001,16.64951768488746,172.4519028126973
2024-11-19 18-36-05.R13.LR.P0.9 U 2,R13,LR,0.9,2.0,0.07,weak,20.227901363830426,20.227901363830426,9029.703473896418,1.8406678135937402,0.00020384587588228648,10.367703460274504,175.32860159711532
2024-11-19 18-44-14.R13.LR.P1.0 U 2,R13,LR,1.0,2.0,0.07,weak,15.460519009135396,15.460519009135396,6955.450610231228,75.30280199036424,0.010826444785560899,15.056278388278388,176.32792083955394
2024-11-19 18-51-47.R13.TB.P1.0 U 2,R13,TB,1.0,2.0,0.07,weak,15.387027743245255,15.387027743245255,6446.094892518403,156.73410765420525,0.024314582746232476,14.710603448275862,176.35661456877654
2024-11-19 18-58-06.R13.TB.P1.5 U 2,R13,TB,1.5,2.0,0.05,weak,15.28864449130856,15.28864449130856,3980.17811251122,148.82951752135733,0.03739267774312142,13.848548872180451,174.1955658724986
2024-11-19 19-04-05.R13.LR.P1.5 U 2,R13,LR,1.5,2.0,0.05,weak,14.974078328364442,14.974078328364442,6970.770157228704,151.44036996600343,0.021725055704061542,15.241678832116788,175.1911755067589
2024-11-19 19-10-11.R13.LR.P8 U 2,R13,LR,8.0,2.0,0.19,strong,356.6039481086584,11.219038988968578,3887.566163000493,153.9790337796676,0.03960808056339903,14.391528545119707,175.82896998993084
2024-11-19 19-14-55.R13.TB.P8 U 2,R13,TB,8.0,2.0,0.12,strong,14.839598684393934,14.839598684393934,5638.763509759895,148.6708383362386,0.026365858060709693,16.25332831325301,173.51375656010677
2024-11-20 16-04-20.R 13.TB.P 0 U 1,R13,TB,0.0,1.0,0.07,weak,7.71780409507528,7.71780409507528,5476.258577997661,160.73636127696807,0.02935149226202896,14.036123836793129,168.26922545896502
2024-11-20 16-10-04.R 13.LR.P 0 U 1,R13,LR,0.0,1.0,0.07,weak,8.208244244212267,8.208244244212267,11630.109533120853,174.0805840773749,0.01496809497637308,14.34016218794721,175.28305125345125
2024-11-20 18-16-21.R13.LR.P 0.5 U 1,R13,LR,0.5,1.0,0.06,weak,271.0034762601572,271.0034762601572,9904.729017489011,2.0076089758715323,0.00020269196384137823,10.434934171154996,178.39726174411982
2024-11-20 18-35-07.R13.TB.P 0.5 U 1,R13,TB,0.5,1.0,0.07,weak,27.652083629898982,27.652083629898982,7098.353278155587,3.539254305641244,0.0004986021640445701,10.22675010931351,176.6817800483117
2024-11-20 19-00-42.R 13.LR.P 0.7 U 1,R13,LR,0.7,1.0,0.06,weak,13.48107004373054,13.48107004373054,2753.0267804002656,159.19454395236036,0.05782527982863098,15.915723076923078,172.15938007613758
2024-11-20 19-06-21.R13.LR.P 1.1 U 1,R13,LR,1.1,1.0,0.08,weak,13.742791400829788,13.742791400829788,4567.884527272872,74.80735028725455,0.01637680415093947,14.761155234657041,167.7245365741101
2024-11-20 19-10-28.R13.TB.P 1.1 U 1,R13,TB,1.1,1.0,0.08,weak,9.795191124285566,9.795191124285566,5163.598568651326,172.7546401860164,0.03345624914276362,14.14,178.4838429264677
2024-11-21 16-39-06.R13.TB.P 1.3 U 1,R13,TB,1.3,1.0,0.08,weak,16.838196654498688,16.838196654498688,10483.822039243405,2.426762493529182,0.0002314768873837462,12.005224333386556,180.60040378747772
2024-11-21 16-53-56.R51.LR.P 1.3 U 1,R51,LR,1.3,1.0,0.08,weak,22.2836243540807,22.2836243540807,4649.816598449055,168.47242405806358,0.036232057865305374,15.346267482517483,176.95619338129987
2024-11-21 17-00-33.R13.LR.P 1.5 U 1,R13,LR,1.5,1.0,0.08,weak,20.55965100357099,20.55965100357099,3209.444264904474,39.93435118090689,0.01244276201259893,14.128649214659687,171.00122026535368
2024-11-21 17-08-42.W52.LR.P 1.5 U 1,W52,LR,1.5,1.0,0.08,weak,12.498289174660556,12.498289174660556,5163.2942642792295,55.5450950867851,0.010757685354301402,11.625304077401521,173.5510882253407
2024-11-21 17-13-32.R51.TB.P 1.5 U 1,R51,TB,1.5,1.0,0.08,weak,17.552512786450507,17.552512786450507,1793.4238563300923,3.142436315981611,0.0017521994618784772,12.761848998459167,170.53875592955401
2024-11-21 17-19-57.R 51 LR P 1.5 U 1,R51,LR,1.5,1.0,0.08,weak,18.74227937922319,18.74227937922319,3151.1079083198147,155.04235657355056,0.04920249038891844,16.28340272217774,168.87141826810125
